Context,Topic of discussion,Representative tweet id,Representative tweet
aspersions on people you don't know,0.people,457019510340349953,@AngelDevil1166 How would you know? You sure like to cast aspersions on people you don't know. What's the deal, pickle?
round hole and it's never going,1.hole round mat,457029008681496576,@AngelDevil1166 No one is stupid, you are trying to make a square peg fit into a round hole, and it's never going to fit...
the Bell kids,2.photos kids families,457029399657717760,@AngelDevil1166 YOU directed that one at me nutwagon.  I don't care what you think about me, honestly..just lay off the Bell kids.
read own tweets one thing,3.tweets kenyetta,457024164092575744,@VP_Renewsit I think you should read own tweets one thing I never was or ever will be is jealous that is a dangerous SIN as you know !
a dead kid and it's all,4.stuff kid,457026057703403520,@AngelDevil1166 You sure as hell are writing about dead kids .. lol come on...really?  Kendrick is a dead kid and it's all you write about.
alcoholic on twitter ;),5.twitter,457022163308916736,@VP_Renewsit ..lol how do you know who I am talking about ? you the only alcoholic on twitter ;)
family demise later,6.demise family,457026532033040384,@VP_Renewsit I only Judge hypocrisy ! didn't throw stones where they don't belong &amp; nobody would get upset ! You are family demise later
how the shoulders of #KENDRICKJOHNSON did,7.shoulders,457198024536903680,@VP_Renewsit @AngelDevil1166 There is a perfect example, how the shoulders of #KENDRICKJOHNSON did not fit in the #ROUND mat! ThankYou,Vicki
didn't kill anyone EHH Hypocrites,8.anyone,457023626139942912,@VP_Renewsit Why are you allowed to write all these fucking dead kid bashing &amp; hating on Family's that didn't kill anyone ?? EHH Hypocrites
twist it sister,9.sister,457028946601598976,@VP_Renewsit I said why did you think that tweet was for you are you the only one don't twist it sister !
